"size_agc","name","size_mbgc","size_xz","nb_phrases","u_kmers","nb_genomes"
3105312,"batch_0",1831649,3453248,1072473,6841431.5,57
2656262,"batch_1",1645856,3174160,972603,5894410,82
1593021,"batch_2",1193724,2478396,830304,4632675.5,29
2829303,"batch_3",1655595,3065824,919999,5298372,64
13993687,"batch_4",5787472,9890384,2893231,24520046,91
9229737,"batch_5",4423832,7011784,2304678,19999390,38
12063908,"batch_6",4739943,8843772,2540239,20408866,73
6969812,"batch_7",3219623,5717784,1829813,13524821,49
9181208,"batch_8",3739091,7971136,2079711,15782738,100
6143813,"batch_9",2940433,4915120,1695482,12407645,26
